Species_Name	EMBL	Phylum	p.value	GENOME_GC	GENOME_Size	GC_Core_1.21_CDS%	GC_Rfam_Core%	Avoidance_Group	Intrinsic
Streptococcus pyogenes MGAS10270	CP000260.1	Firmicutes	9.43E-29	0.38	1928252	32.98059965	52.45116813	Avoidance	5.56E-18
Streptococcus pyogenes MGAS2096	CP000261.1	Firmicutes	1.82E-23	0.39	1860355	34.25925926	52.46697747	Avoidance	3.35E-16
Streptococcus pyogenes MGAS10750	CP000262.1	Firmicutes	7.72E-21	0.38	1937111	33.37702053	52.47126437	Avoidance	2.16E-17
Jannaschia sp. CCS1	CP000264.1	Proteobacteria	0.7810454501	0.62	4317977	50	58.77259036	Non-Avoidance	8.09E-11
Shigella flexneri 5 str. 8401	CP000266.1	Proteobacteria	5.78E-44	0.51	4574284	42.4744898	57.40766746	Avoidance	4.07E-21
Rhodoferax ferrireducens T118	CP000267.1	Proteobacteria	0.7375605336	0.6	4712337	45.40517962	56.87619655	Non-Avoidance	4.64E-14
Janthinobacterium sp. Marseille	CP000269.1	Proteobacteria	0.5868061144	0.54	4110251	41.18629908	56.4124057	Non-Avoidance	9.51E-20
Burkholderia xenovorans LB400	CP000270.1	Proteobacteria	0.006492887794	0.63	4895836	47.66156463	58.38001514	Avoidance	4.46E-14
Saccharophagus degradans 2-40	CP000282.1	Proteobacteria	0.01639988408	0.46	5057531	41.52046784	56.6097518	Avoidance	2.27E-19
Rhodopseudomonas palustris BisB5	CP000283.1	Proteobacteria	0.1572821234	0.65	4892717	52.04382638	59.65122243	Non-Avoidance	1.12E-09
Methylobacillus flagellatus KT	CP000284.1	Proteobacteria	0.01151198502	0.56	2971517	42.02172097	57.410947	Avoidance	6.53E-18
Chromohalobacter salexigens DSM 3043	CP000285.1	Proteobacteria	0.009957122438	0.64	3696649	50.79365079	59.49566588	Avoidance	2.04E-11
Rhodopseudomonas palustris BisB18	CP000301.1	Proteobacteria	0.02877271611	0.65	5513844	52.33881163	59.0893231	Avoidance	1.66E-08
Shewanella denitrificans OS217	CP000302.1	Proteobacteria	2.55E-06	0.45	4545906	39.89139515	55.90652699	Avoidance	6.01E-22
Bifidobacterium breve UCC2003	CP000303.1	Actinobacteria	2.36E-08	0.59	2422684	48.75491481	59.3565774	Avoidance	1.62E-15
Pseudomonas stutzeri A1501	CP000304.1	Proteobacteria	0.9999993378	0.64	4567418	50.96073517	57.87859219	Non-Avoidance	1.13E-09
Yersinia pestis Nepal516	CP000305.1	Proteobacteria	4.29E-10	0.48	4534590	41.39515455	56.73091992	Avoidance	1.40E-21
Yersinia pestis Antiqua	CP000308.1	Proteobacteria	1.13E-10	0.48	4702289	41.39515455	56.69937269	Avoidance	5.00E-21
Clostridium perfringens SM101	CP000312.1	Firmicutes	9.17E-12	0.28	2897393	28.48562849	54.26473043	Avoidance	5.04E-24
Polaromonas sp. JS666	CP000316.1	Proteobacteria	0.936921016	0.62	5200264	45.90643275	57.12859757	Non-Avoidance	1.11E-13
Nitrobacter hamburgensis X14	CP000319.1	Proteobacteria	0.7952494771	0.62	4406967	53.63408521	59.53504043	Non-Avoidance	1.93E-06
Psychrobacter cryohalolentis K5	CP000323.1	Proteobacteria	2.45E-08	0.42	3059876	38.0952381	54.05356497	Avoidance	2.83E-17
Mycobacterium ulcerans Agy99	CP000325.1	Actinobacteria	0.4259128463	0.65	5631606	58.64435864	61.07660455	Non-Avoidance	0.004064014
Leptospira borgpetersenii serovar Hardjo-bovis L550	CP000348.1	Spirochaetes	0.5849031989	0.4	3614446	36.80823681	54.24140508	Non-Avoidance	3.69E-20
Leptospira borgpetersenii serovar Hardjo-bovis JB197	CP000350.1	Spirochaetes	0.672442597	0.4	3576473	36.80823681	54.27877429	Non-Avoidance	3.69E-20
Cupriavidus metallidurans CH34	CP000352.1	Proteobacteria	0.1118853029	0.64	3928089	50.45948204	58.87110084	Non-Avoidance	1.17E-11
Sphingopyxis alaskensis RB2256	CP000356.1	Proteobacteria	0.7034775316	0.66	3345170	56.39097744	59.66918881	Non-Avoidance	0.001564419
Deinococcus geothermalis DSM 11300	CP000359.1	Deinococcus-Thermus	3.35E-07	0.67	2467205	54.06658239	60.50624696	Avoidance	1.69E-05
Candidatus Koribacter versatilis Ellin345	CP000360.1	Acidobacteria	3.03E-10	0.58	5650368	47.24310777	58.75671527	Avoidance	3.54E-16
Arcobacter butzleri RM4018	CP000361.1	Proteobacteria	5.53E-13	0.27	2341251	26.46439107	49.645861	Avoidance	1.13E-17
Roseobacter denitrificans OCh 114	CP000362.1	Proteobacteria	1.52E-07	0.59	4133097	47.28487886	58.71107607	Avoidance	2.97E-12
Ruegeria sp. TM1040	CP000377.1	Proteobacteria	0.006665711142	0.6	3200938	48.16687737	58.59872611	Avoidance	1.87E-11
Burkholderia cenocepacia AU 1054	CP000378.1	Proteobacteria	1.42E-10	0.67	3294563	50.37348273	58.2643833	Avoidance	2.45E-07
Clostridium novyi NT	CP000382.1	Firmicutes	2.19E-08	0.29	2547720	29.12912913	53.02534046	Avoidance	3.31E-22
Cytophaga hutchinsonii ATCC 33406	CP000383.1	Bacteroidetes	0.00561496123	0.39	4433218	33.03571429	52.6336478	Avoidance	9.79E-20
Mycobacterium sp. MCS	CP000384.1	Actinobacteria	0.4580099655	0.68	5705448	59.63105963	61.59041027	Non-Avoidance	0.05570458
Rubrobacter xylanophilus DSM 9941	CP000386.1	Actinobacteria	0.008184933682	0.7	3225748	60.84183673	64.21845574	Avoidance	0.007179278
Streptococcus sanguinis SK36	CP000387.1	Firmicutes	1.02E-20	0.43	2388435	31.53153153	53.73608903	Avoidance	5.08E-21
Pseudoalteromonas atlantica T6c	CP000388.1	Proteobacteria	4.16E-18	0.45	5187005	37.88638262	54.77082219	Avoidance	2.83E-19
Chelativorans sp. BNC1	CP000390.1	Proteobacteria	0.9980971813	0.61	4412446	50.54302423	60.67301156	Non-Avoidance	3.16E-12
Trichodesmium erythraeum IMS101	CP000393.1	Cyanobacteria	4.88E-05	0.34	7750108	34.92063492	54.30157262	Avoidance	3.08E-20
Granulibacter bethesdensis CGDNIH1	CP000394.1	Proteobacteria	0.08645596046	0.59	2708355	55.16224189	60.73183127	Non-Avoidance	3.20E-07
Borrelia afzelii PKo	CP000395.1	Spirochaetes	0.0001289614975	0.28	905394	27.61904762	48.76431585	Avoidance	4.72E-19
Streptococcus suis 05ZYH33	CP000407.1	Firmicutes	5.22E-27	0.41	2096309	34.11255411	53.08547336	Avoidance	3.95E-15
Streptococcus suis 98HAH33	CP000408.1	Firmicutes	5.17E-34	0.41	2095698	33.24675325	53.02889096	Avoidance	1.06E-16
Rickettsia canadensis str. McKiel	CP000409.1	Proteobacteria	0.66184988	0.31	1159772	26.60550459	51.49117468	Non-Avoidance	3.25E-19
Streptococcus pneumoniae D39	CP000410.1	Firmicutes	1.62E-39	0.4	2046115	31.12554113	53.24923547	Avoidance	4.25E-18
Oenococcus oeni PSU-1	CP000411.1	Firmicutes	0.03334254266	0.38	1780517	31.67115903	53.02923565	Avoidance	5.49E-22
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	CP000412.1	Firmicutes	1.72E-07	0.5	1856951	35.25557012	54.09293865	Avoidance	5.52E-23
Lactobacillus gasseri ATCC 33323	CP000413.1	Firmicutes	1.04E-25	0.35	1894360	32.08722741	52.29219144	Avoidance	1.11E-22
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	CP000414.1	Firmicutes	0.0001171204582	0.38	2038396	33.46439493	52.97845374	Avoidance	8.59E-21
Lactobacillus brevis ATCC 367	CP000416.1	Firmicutes	1.11E-25	0.46	2291220	36.80462839	54.10992617	Avoidance	1.79E-21
Streptococcus thermophilus LMD-9	CP000419.1	Firmicutes	8.62E-36	0.39	1856368	32.98383574	53.50180505	Avoidance	1.34E-19
Pediococcus pentosaceus ATCC 25745	CP000422.1	Firmicutes	2.41E-08	0.37	1832387	32.63433814	52.58305516	Avoidance	3.94E-23
Lactobacillus casei ATCC 334	CP000423.1	Firmicutes	0.01596561229	0.47	2895264	38.75054609	54.2810189	Avoidance	2.83E-20
Lactococcus lactis subsp. cremoris SK11	CP000425.1	Firmicutes	8.03E-19	0.36	2438589	30.24691358	52.25099948	Avoidance	1.14E-20
Rhodococcus jostii RHA1	CP000431.1	Actinobacteria	0.08755521543	0.68	7804765	58.07823129	60.95222073	Non-Avoidance	0.0131734
Synechococcus sp. CC9311	CP000435.1	Cyanobacteria	0.672987347	0.52	2606748	53.81373788	58.15731974	Non-Avoidance	7.52E-05
Haemophilus somnus 129PT	CP000436.1	Proteobacteria	8.51E-24	0.37	2007700	32.91562239	54.10754948	Avoidance	3.02E-22
Francisella tularensis subsp. holarctica OSU18	CP000437.1	Proteobacteria	0.004047027192	0.32	1895727	28.48639456	53.27932099	Avoidance	1.35E-20
Pseudomonas aeruginosa UCBPP-PA14	CP000438.1	Proteobacteria	0.9999997685	0.66	6537648	50.58479532	57.94302269	Non-Avoidance	5.77E-10
Francisella novicida U112	CP000439.1	Proteobacteria	0.03273339603	0.32	1910031	27.93367347	53.32407224	Avoidance	5.17E-20
Burkholderia ambifaria AMMD	CP000440.1	Proteobacteria	8.84E-18	0.67	3556545	49.31972789	58.91675642	Avoidance	1.15E-11
Shewanella sp. MR-7	CP000444.1	Proteobacteria	9.53E-11	0.48	4792610	40.267335	56.25784191	Avoidance	2.04E-20
Shewanella sp. MR-4	CP000446.1	Proteobacteria	1.03E-12	0.48	4706287	40.22556391	56.04888614	Avoidance	2.64E-20
Shewanella frigidimarina NCIMB 400	CP000447.1	Proteobacteria	5.42E-05	0.42	4845257	38.97243108	55.74668899	Avoidance	1.78E-22
Syntrophomonas wolfei subsp. wolfei str. Goettingen	CP000448.1	Firmicutes	0.9828262793	0.45	2936195	39.39014202	56.8611862	Non-Avoidance	1.48E-21
Maricaulis maris MCS10	CP000449.1	Proteobacteria	0.7507071144	0.63	3368780	50.91896408	59.92141454	Non-Avoidance	1.30E-09
Nitrosomonas eutropha C91	CP000450.1	Proteobacteria	0.08408027734	0.48	2661057	38.2638011	56.62450067	Non-Avoidance	1.50E-20
Alkalilimnicola ehrlichii MLHE-1	CP000453.1	Proteobacteria	0.9999964734	0.68	3275944	54.5112782	61.46120201	Non-Avoidance	6.38E-09
Arthrobacter sp. FB24	CP000454.1	Actinobacteria	0.00805579935	0.65	4698945	54.42176871	59.72532189	Avoidance	1.23E-06
Burkholderia cenocepacia HI2424	CP000458.1	Proteobacteria	3.18E-15	0.67	3483902	49.38895912	58.99513776	Avoidance	6.76E-12
Aeromonas hydrophila subsp. hydrophila ATCC 7966	CP000462.1	Proteobacteria	3.86E-07	0.62	4744448	44.86215539	57.50843645	Avoidance	2.15E-19
Rhodopseudomonas palustris BisA53	CP000463.1	Proteobacteria	0.8649225299	0.64	5505494	53.80116959	59.62646186	Non-Avoidance	1.91E-06
Escherichia coli APEC O1	CP000468.1	Proteobacteria	1.40E-05	0.51	5082025	42.52710985	57.74884502	Avoidance	1.35E-20
Shewanella sp. ANA-3	CP000469.1	Proteobacteria	2.41E-12	0.48	4972204	40.3091061	55.93114241	Avoidance	4.95E-19
Magnetococcus sp. MC-1	CP000471.1	Proteobacteria	0.06235512173	0.54	4719581	46.69195112	58.07774315	Non-Avoidance	2.57E-14
Shewanella piezotolerans WP3	CP000472.1	Proteobacteria	3.34E-05	0.43	5396476	39.76608187	55.45192471	Avoidance	5.41E-22
Candidatus Solibacter usitatus Ellin6076	CP000473.1	Acidobacteria	0.9739080871	0.62	9965640	49.12280702	59.50949367	Non-Avoidance	9.40E-12
Arthrobacter aurescens TC1	CP000474.1	Actinobacteria	0.2922659874	0.62	4597686	54.32900433	59.60702487	Non-Avoidance	3.06E-06
Syntrophobacter fumaroxidans MPOB	CP000478.1	Proteobacteria	0.877813717	0.6	4990251	48.28738513	60.12599877	Non-Avoidance	4.17E-16
Mycobacterium avium 104	CP000479.1	Actinobacteria	0.9999998148	0.69	5475491	60.78936079	61.35703299	Non-Avoidance	0.1271434
Mycobacterium smegmatis str. MC2 155	CP000480.1	Actinobacteria	0.9937508129	0.67	6988209	59.09863946	61.60487557	Non-Avoidance	0.008965438
Acidothermus cellulolyticus 11B	CP000481.1	Actinobacteria	0.9999999142	0.67	2443540	62.5	64.32569056	Non-Avoidance	0.1105254
Pelobacter propionicus DSM 2379	CP000482.1	Proteobacteria	0.3623317034	0.59	4008000	44.52798663	58.71631095	Non-Avoidance	4.40E-17
Bacillus thuringiensis str. Al Hakam	CP000485.1	Firmicutes	4.27E-07	0.35	5257091	35.96938776	55.43998679	Avoidance	2.31E-20
Campylobacter fetus subsp. fetus 82-40	CP000487.1	Proteobacteria	0.0001561064927	0.33	1773615	29.15622389	51.70042033	Avoidance	1.54E-21
Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)	CP000488.1	Proteobacteria	0.7316448067	0.34	1160782	29.76190476	52.27100681	Non-Avoidance	2.21E-20
Chlorobium phaeobacteroides DSM 266	CP000492.1	Chlorobi	0.0002738860409	0.48	3133902	38.89591235	53.80827315	Avoidance	9.11E-19
Bradyrhizobium sp. BTAi1	CP000494.1	Proteobacteria	0.438553359	0.65	8264687	53.94016013	59.91482112	Non-Avoidance	2.71E-07
Shewanella sp. W3-18-1	CP000503.1	Proteobacteria	4.56E-15	0.45	4708380	40.10025063	56.47173174	Avoidance	3.58E-22
Shewanella amazonensis SB2B	CP000507.1	Proteobacteria	2.98E-16	0.54	4306142	42.64828739	57.16147955	Avoidance	1.12E-18
Nocardioides sp. JS614	CP000509.1	Actinobacteria	0.9319802444	0.72	4985871	62.84013605	62.14122205	Non-Avoidance	0.9757828
Psychromonas ingrahamii 37	CP000510.1	Proteobacteria	2.15E-06	0.4	4559598	34.50292398	53.18623415	Avoidance	4.05E-21
Mycobacterium vanbaalenii PYR-1	CP000511.1	Actinobacteria	0.9496881325	0.68	6491865	58.6014586	61.44843962	Non-Avoidance	0.007503621
Acidovorax citrulli AAC00-1	CP000512.1	Proteobacteria	0.9234502406	0.69	5352772	51.5037594	58.27250608	Non-Avoidance	6.58E-08
Dichelobacter nodosus VCS1703A	CP000513.1	Proteobacteria	0.009940098499	0.44	1389350	35.30673531	54.51516746	Avoidance	1.12E-19
Marinobacter aquaeolei VT8	CP000514.1	Proteobacteria	0.8123134856	0.57	4326849	47.20133668	58.58671649	Non-Avoidance	2.56E-16
Lactobacillus helveticus DPC 4571	CP000517.1	Firmicutes	1.94E-11	0.37	2080931	32.30974633	52.292313	Avoidance	2.35E-22
Mycobacterium sp. KMS	CP000518.1	Actinobacteria	0.3095439918	0.68	5737227	59.2020592	61.59041027	Non-Avoidance	0.02345928
Acinetobacter baumannii ATCC 17978	CP000521.1	Proteobacteria	1.02E-16	0.39	3976747	39.30735931	54.97382199	Avoidance	2.87E-19
Bartonella bacilliformis KC583	CP000524.1	Proteobacteria	0.03774267219	0.38	1445021	36.37923638	56.43582306	Avoidance	2.28E-21
Burkholderia mallei SAVP1	CP000526.1	Proteobacteria	0.0002330521418	0.68	3497479	50.34013605	58.98305085	Avoidance	5.47E-08
Desulfovibrio vulgaris DP4	CP000527.1	Proteobacteria	0.05940656884	0.63	3462887	48.92541087	59.10963245	Non-Avoidance	1.38E-13
Polaromonas naphthalenivorans CJ2	CP000529.1	Proteobacteria	0.7630184247	0.63	4410291	45.98997494	56.83827353	Non-Avoidance	4.73E-13
Campylobacter jejuni subsp. jejuni 81-176	CP000538.1	Proteobacteria	6.16E-07	0.31	1616554	27.64433207	51.67322835	Avoidance	1.79E-20
Acidovorax sp. JS42	CP000539.1	Proteobacteria	0.4869481776	0.66	4448856	50.29239766	57.67894371	Non-Avoidance	3.24E-09
Verminephrobacter eiseniae EF01-2	CP000542.1	Proteobacteria	0.999998038	0.65	5566749	53.13283208	58.8547917	Non-Avoidance	9.67E-06
Halorhodospira halophila SL1	CP000544.1	Proteobacteria	1	0.68	2678452	56.97429414	62.09935897	Non-Avoidance	4.02E-06
Burkholderia mallei NCTC 10229	CP000546.1	Proteobacteria	0.0003064895446	0.68	3458208	49.67824968	58.98305085	Avoidance	4.69E-09
Burkholderia mallei NCTC 10247	CP000548.1	Proteobacteria	0.000386083074	0.68	3495687	49.82993197	58.98305085	Avoidance	6.92E-09
Prochlorococcus marinus str. AS9601	CP000551.1	Cyanobacteria	0.004208976964	0.31	1669886	31.63265306	55.81350358	Avoidance	3.74E-21
Prochlorococcus marinus str. MIT 9515	CP000552.1	Cyanobacteria	0.447463333	0.31	1704176	31.11946533	55.51420176	Non-Avoidance	3.16E-21
Prochlorococcus marinus str. NATL1A	CP000553.1	Cyanobacteria	0.9695533946	0.35	1864731	37.58954909	56.26068782	Non-Avoidance	2.95E-18
Prochlorococcus marinus str. MIT 9303	CP000554.1	Cyanobacteria	0.9988867958	0.5	2682675	53.64517488	58.26290236	Non-Avoidance	2.19E-05
Methylibium petroleiphilum PM1	CP000555.1	Proteobacteria	0.005638220716	0.69	4044195	54.69869364	59.52380952	Avoidance	3.29E-05
Geobacillus thermodenitrificans NG80-2	CP000557.1	Firmicutes	0.1007582447	0.49	3550319	42.05646861	58.91408935	Non-Avoidance	3.52E-24
Bacillus amyloliquefaciens FZB42	CP000560.1	Firmicutes	0.1807518805	0.46	3918589	36.38262322	55.92044403	Non-Avoidance	4.03E-23
Shewanella baltica OS155	CP000563.1	Proteobacteria	2.46E-07	0.46	5127376	39.56386293	56.42946317	Avoidance	3.16E-22
Clostridium thermocellum ATCC 27405	CP000568.1	Firmicutes	0.5616252624	0.39	3843301	35.839599	55.45583373	Non-Avoidance	1.71E-23
Actinobacillus pleuropneumoniae serovar 5b str. L20	CP000569.1	Proteobacteria	8.91E-13	0.41	2274482	34.86394558	54.09207161	Avoidance	4.30E-20
Burkholderia pseudomallei 668	CP000570.1	Proteobacteria	4.17E-05	0.68	3912947	50.29761905	59.13605549	Avoidance	1.21E-08
Burkholderia pseudomallei 1106a	CP000572.1	Proteobacteria	0.06580273885	0.68	3988455	50.04251701	59.02057744	Non-Avoidance	2.27E-08
Prochlorococcus marinus str. MIT 9301	CP000576.1	Cyanobacteria	0.001183365895	0.31	1641879	31.76020408	55.71876224	Avoidance	2.21E-20
Rhodobacter sphaeroides ATCC 17029	CP000577.1	Proteobacteria	0.4729927704	0.69	3147721	56.25	60.7755102	Non-Avoidance	4.05E-05
Mycobacterium sp. JLS	CP000580.1	Actinobacteria	0.3400626519	0.68	6048425	59.15915916	61.58392435	Non-Avoidance	0.02462061
Bifidobacterium longum DJO10A	CP000605.1	Actinobacteria	2.15E-07	0.6	2375792	50.13227513	59.43267259	Avoidance	2.48E-13
Shewanella loihica PV-4	CP000606.1	Proteobacteria	7.31E-07	0.54	4602594	41.18629908	55.50254976	Avoidance	4.24E-19
Chlorobium phaeovibrioides DSM 265	CP000607.1	Chlorobi	0.9864044539	0.53	1966858	41.2136536	55.1061008	Non-Avoidance	3.03E-18
Francisella tularensis subsp. tularensis WY96-3418	CP000608.1	Proteobacteria	0.005093906311	0.32	1898476	27.76360544	53.18515578	Avoidance	4.91E-20
Mycobacterium tuberculosis H37Ra	CP000611.1	Actinobacteria	0.9999698474	0.66	4419977	59.48051948	61.2716763	Non-Avoidance	0.03589929
Desulfotomaculum reducens MI-1	CP000612.1	Firmicutes	3.57E-10	0.42	3608104	40.58154235	56.82703003	Avoidance	5.96E-23
Rhodospirillum centenum SW	CP000613.2	Proteobacteria	0.1068336877	0.7	4355543	58.85547201	61.92587338	Non-Avoidance	0.02514858
Burkholderia vietnamiensis G4	CP000614.1	Proteobacteria	1.01E-13	0.66	3652814	49.33504934	59.00630915	Avoidance	4.12E-12
Vibrio cholerae O395	CP000627.1	Proteobacteria	2.81E-16	0.48	3024069	39.55383955	56.31463948	Avoidance	6.36E-24
Agrobacterium radiobacter K84	CP000628.1	Proteobacteria	0.2681140938	0.6	4005130	48.42687075	59.0984975	Non-Avoidance	8.65E-14
Agrobacterium vitis S4	CP000633.1	Proteobacteria	2.63E-05	0.58	3726375	47.78911565	58.8246234	Avoidance	6.86E-15
Aeromonas salmonicida subsp. salmonicida A449	CP000644.1	Proteobacteria	7.77E-09	0.59	4702402	43.56725146	57.74267008	Avoidance	3.89E-20
Klebsiella pneumoniae subsp. pneumoniae MGH 78578	CP000647.1	Proteobacteria	0.009304928689	0.57	5315120	42.81537176	57.26592978	Avoidance	4.01E-18
Enterobacter sp. 638	CP000653.1	Proteobacteria	0.0002696069793	0.53	4518712	42.27234754	57.07219045	Avoidance	3.71E-20
Polynucleobacter necessarius subsp. asymbioticus QLW-P1DMWA-1	CP000655.1	Proteobacteria	1.28E-19	0.45	2159490	39.99157185	55.33151059	Avoidance	8.36E-17
Mycobacterium gilvum PYR-GCK	CP000656.1	Actinobacteria	0.04905542639	0.68	5619607	58.77305877	61.21989257	Avoidance	0.0033455
Rhodobacter sphaeroides ATCC 17025	CP000661.1	Proteobacteria	0.2919048009	0.68	3217726	56.46258503	60.64690027	Non-Avoidance	1.10E-05
Salinispora tropica CNB-440	CP000667.1	Actinobacteria	0.005956306565	0.69	5183331	61.7361989	63.48497854	Avoidance	0.08377998
Yersinia pestis Pestoides F	CP000668.1	Proteobacteria	3.68E-10	0.48	4517345	41.35338346	56.8283987	Avoidance	6.91E-22
Haemophilus influenzae PittEE	CP000671.1	Proteobacteria	1.80E-06	0.38	1813033	35.82153582	54.13862719	Avoidance	3.27E-21
Haemophilus influenzae PittGG	CP000672.1	Proteobacteria	1.77E-11	0.38	1887192	34.86238532	54.10486375	Avoidance	2.14E-20
Clostridium kluyveri DSM 555	CP000673.1	Firmicutes	2.73E-09	0.32	3964618	29.61038961	53.95189003	Avoidance	6.10E-26
Legionella pneumophila str. Corby	CP000675.2	Proteobacteria	0.4538050933	0.38	3576470	33.79688158	56.34578956	Non-Avoidance	1.47E-22
Caldicellulosiruptor saccharolyticus DSM 8903	CP000679.1	Firmicutes	0.0002117002507	0.35	2970275	33.75104428	58.60642698	Avoidance	4.07E-24
Pseudomonas mendocina ymp	CP000680.1	Proteobacteria	0.9935835269	0.65	5072807	49.59966287	57.50500334	Non-Avoidance	1.49E-10
Shewanella putrefaciens CN-32	CP000681.1	Proteobacteria	4.85E-13	0.44	4659220	39.68253968	56.48414986	Avoidance	1.06E-22
Rickettsia massiliae MTU5	CP000683.1	Proteobacteria	0.8592564701	0.33	1360898	26.08125819	52.08500401	Non-Avoidance	1.10E-18
Flavobacterium johnsoniae UW101	CP000685.1	Bacteroidetes	0.9912867596	0.34	6096872	28.44272844	52.28455755	Non-Avoidance	8.69E-21
Roseiflexus sp. RS-1	CP000686.1	Chloroflexi	0.6963244071	0.6	5801598	48.7670068	62.88156288	Non-Avoidance	1.62E-17
Actinobacillus pleuropneumoniae serovar 3 str. JL03	CP000687.1	Proteobacteria	1.90E-12	0.41	2242062	34.92063492	54.32141023	Avoidance	1.87E-22
Dehalococcoides sp. BAV1	CP000688.1	Chloroflexi	3.93E-12	0.47	1341892	37.18614719	57.38705739	Avoidance	5.10E-23
Acidiphilium cryptum JF-5	CP000697.1	Proteobacteria	0.9981735176	0.68	3389227	56.38432364	61.14876918	Non-Avoidance	8.86E-05
Geobacter uraniireducens Rf4	CP000698.1	Proteobacteria	0.2177391776	0.54	5136364	39.45578231	57.95861211	Non-Avoidance	2.03E-22
Sphingomonas wittichii RW1	CP000699.1	Proteobacteria	0.995962253	0.68	5382261	58.9549094	60.62048299	Non-Avoidance	0.007978223
Thermotoga petrophila RKU-1	CP000702.1	Thermotogae	1.59E-05	0.46	1823511	43.40986395	64.66214032	Avoidance	1.48E-24
Staphylococcus aureus subsp. aureus JH9	CP000703.1	Firmicutes	9.10E-08	0.33	2906700	31.42006803	52.11801549	Avoidance	1.55E-21
Lactobacillus reuteri DSM 20016	CP000705.1	Firmicutes	3.13E-10	0.39	1999618	34.1991342	52.70119522	Avoidance	4.10E-22
Brucella ovis ATCC 25840	CP000708.1	Proteobacteria	8.51E-06	0.57	2111370	48.73444873	59.25375905	Avoidance	2.30E-11
Pseudomonas putida F1	CP000712.1	Proteobacteria	0.8190462187	0.62	5959964	48.07852966	56.82315329	Non-Avoidance	2.27E-10
Psychrobacter sp. PRwf-1	CP000713.1	Proteobacteria	1.55E-05	0.45	2978976	38.30594185	53.93884892	Avoidance	2.30E-15
Thermosipho melanesiensis BI429	CP000716.1	Thermotogae	5.86E-26	0.31	1915238	31.18415508	60.72259265	Avoidance	4.59E-25
Mycobacterium tuberculosis F11	CP000717.1	Actinobacteria	0.9999999855	0.66	4424435	59.43722944	61.25467528	Non-Avoidance	0.0344611
Yersinia pseudotuberculosis IP 31758	CP000720.1	Proteobacteria	1.42E-10	0.48	4723306	40.89390142	56.65673514	Avoidance	1.85E-21
Clostridium beijerinckii NCIMB 8052	CP000721.1	Firmicutes	3.57E-11	0.3	6000632	28.65722866	52.56883815	Avoidance	1.06E-22
Alkaliphilus metalliredigens QYMF	CP000724.1	Firmicutes	9.23E-06	0.37	4929566	32.24728488	55.49585508	Avoidance	1.26E-24
Streptococcus gordonii str. Challis substr. CH1	CP000725.1	Firmicutes	1.17E-38	0.41	2196662	30.64935065	53.04606241	Avoidance	1.98E-19
Clostridium botulinum A str. ATCC 19397	CP000726.1	Firmicutes	2.49E-07	0.28	3863450	28.91462891	53.97394137	Avoidance	1.73E-23
Clostridium botulinum A str. Hall	CP000727.1	Firmicutes	4.43E-06	0.28	3760560	28.82882883	53.97394137	Avoidance	1.65E-23
Clostridium botulinum F str. Langeland	CP000728.1	Firmicutes	1.24E-08	0.28	3995387	28.82882883	54.18559377	Avoidance	1.77E-23
Coxiella burnetii Dugway 5J108-111	CP000733.1	Proteobacteria	3.47E-05	0.42	2158758	38.7329932	57.18573446	Avoidance	5.17E-20
Staphylococcus aureus subsp. aureus JH1	CP000736.1	Firmicutes	8.13E-08	0.33	2906507	31.59013605	51.97994987	Avoidance	4.75E-21
Sinorhizobium medicae WSM419	CP000738.1	Proteobacteria	0.01149023873	0.62	3781904	49.09397387	59.83971505	Avoidance	1.07E-15
Pseudomonas aeruginosa PA7	CP000744.1	Proteobacteria	0.9999647209	0.66	6588339	51.29490393	58.20089002	Non-Avoidance	4.27E-09
Actinobacillus succinogenes 130Z	CP000746.1	Proteobacteria	6.59E-13	0.45	2319663	35.29657477	55.05878457	Avoidance	4.12E-22
Phenylobacterium zucineum HLK1	CP000747.1	Proteobacteria	0.7935769897	0.71	3996255	59.64912281	61.19126896	Non-Avoidance	0.08717063
Marinomonas sp. MWYL1	CP000749.1	Proteobacteria	2.21E-28	0.43	5100344	39.05597327	55.22807018	Avoidance	1.48E-17
Kineococcus radiotolerans SRS30216	CP000750.2	Actinobacteria	0.007727573724	0.74	4761183	66.70918367	62.56713212	Avoidance	0.006394091
Shewanella baltica OS185	CP000753.1	Proteobacteria	7.93E-07	0.46	5229686	39.43191312	56.34043877	Avoidance	2.52E-23
Ochrobactrum anthropi ATCC 49188	CP000758.1	Proteobacteria	4.25E-08	0.56	2887297	47.61904762	59.25640532	Avoidance	2.71E-15
Bacillus cytotoxicus NVH 391-98	CP000764.1	Firmicutes	2.19E-06	0.36	4087024	34.26870748	55.63105147	Avoidance	4.16E-21
Rickettsia rickettsii str. Iowa	CP000766.2	Proteobacteria	6.49E-05	0.32	1268188	28.39667977	51.98453084	Avoidance	1.78E-18
Campylobacter curvus 525.92	CP000767.1	Proteobacteria	0.0005363500605	0.45	1971264	33.54978355	52.33160622	Avoidance	8.23E-19
Campylobacter jejuni subsp. doylei 269.97	CP000768.1	Proteobacteria	1.35E-11	0.31	1845106	27.84212784	51.8439441	Avoidance	1.12E-20
