Species_Name	Taxon_ID	EMBL	Phylum	wxBothSide.p.value	wxGreater.p.value(AVOIDANCEif<0.05)	wxLess.p.value	GENOME_GC	GENOME_Size	GC_Core_1.21_CDS%	GC_Rfam_Core%	Avoidance_Group	Intrinsic
Lactobacillus acidophilus NCFM	272621	CP000033.3	Firmicutes	5.38693281083923e-09	2.69346640541962e-09	0.999999997306534	0.35	1993560	31.629532547	52.2865853659	Avoidance	8.45348e-23
Shigella dysenteriae Sd197	300267	CP000034.1	Proteobacteria	1.11342461404875e-12	5.56712307024375e-13	0.999999999999443	0.51	4369232	41.6040100251	57.5061054446	Avoidance	3.413055e-22
Shigella boydii Sb227	300268	CP000036.1	Proteobacteria	2.35575709760951e-16	1.17787854880476e-16	1	0.51	4519823	41.5204678363	57.5184309362	Avoidance	1.049219e-22
Shigella sonnei Ss046	300269	CP000038.1	Proteobacteria	1.14504225759055e-20	5.72521128795273e-21	1	0.51	4825265	41.5622389307	57.600114827	Avoidance	1.457752e-22
Staphylococcus aureus subsp. aureus COL	93062	CP000046.1	Firmicutes	2.19334596703351e-07	1.09667298351676e-07	0.999999890332731	0.33	2809422	31.8452380952	51.890150873	Avoidance	1.159884e-20
Borrelia hermsii DAH	314723	CP000048.1	Spirochaetes	1.56926674108517e-07	7.84633370542586e-08	0.999999921536695	0.30	922307	28.663003663	49.3686607328	Avoidance	8.495391e-18
Borrelia turicatae 91E135	314724	CP000049.1	Spirochaetes	1.27648463506866e-10	6.3824231753433e-11	0.999999999936176	0.29	917330	28.798185941	49.2447755018	Avoidance	7.899289e-18
Xanthomonas campestris pv. campestris str. 8004	314565	CP000050.1	Proteobacteria	0.607905964104645	0.696047030624742	0.303952982052323	0.65	5148708	53.0552043826	59.1130680925	Non-Avoidance	4.077524e-06
Chlamydia trachomatis A/HAR-13	315277	CP000051.1	Chlamydiae	0.000234127306920627	0.000117063653460314	0.999882936371118	0.41	1044459	37.9676870748	52.1013029914	Avoidance	5.780872e-17
Rickettsia felis URRWXCal2	315456	CP000053.1	Proteobacteria	0.0493588590802314	0.0246794295401157	0.97532057401488	0.32	1485148	28.6147186147	52.1038856453	Avoidance	1.282308e-18
Streptococcus pyogenes MGAS6180	319701	CP000056.1	Firmicutes	6.05386268417086e-32	3.02693134208543e-32	1	0.38	1897573	33.6860670194	52.5852163922	Avoidance	8.087313e-17
Haemophilus influenzae 86-028NP	281310	CP000057.2	Proteobacteria	8.71504403967163e-15	4.35752201983581e-15	0.999999999999996	0.38	1914490	35.8617783397	54.1226575809	Avoidance	1.427325e-20
Pseudomonas syringae pv. phaseolicola 1448A	264730	CP000058.1	Proteobacteria	0.159260949160424	0.920369531743182	0.0796304745802118	0.58	5928787	47.7443609023	56.6997121842	Non-Avoidance	4.144986e-09
Pseudomonas syringae pv. syringae B728a	205918	CP000075.1	Proteobacteria	0.498220275802186	0.249110137901093	0.750889875637009	0.59	6093698	46.9507101086	56.6857688634	Non-Avoidance	1.146097e-10
Pseudomonas fluorescens Pf-5	220664	CP000076.1	Proteobacteria	0.182372848263407	0.0911864241317037	0.90881358245167	0.63	7074893	47.5772765246	56.7320051414	Non-Avoidance	2.310775e-10
Psychrobacter arcticus 273-4	259536	CP000082.1	Proteobacteria	7.07719927651161e-06	3.5385996382558e-06	0.999996461401209	0.43	2650701	37.9266750948	53.9509536785	Avoidance	1.520675e-17
Colwellia psychrerythraea 34H	167879	CP000083.1	Proteobacteria	8.05143775630646e-11	4.02571887815323e-11	0.999999999959743	0.38	5373180	35.8395989975	54.2069459363	Avoidance	2.952447e-20
Candidatus Pelagibacter ubique HTCC1062	335992	CP000084.1	Proteobacteria	0.130059557761982	0.0650297788809909	0.934970230871902	0.30	1308759	25.8503401361	52.1391631406	Non-Avoidance	5.651014e-18
Burkholderia thailandensis E264	271848	CP000086.1	Proteobacteria	0.000861751671459256	0.000430875835729628	0.999569124228105	0.67	3809201	50.9353741497	59.0588621085	Avoidance	7.853444e-08
Rickettsia bellii RML369-C	336407	CP000087.1	Proteobacteria	0.000200225403891023	0.000100112701945511	0.999899887321512	0.32	1522076	27.9653679654	52.1183863775	Avoidance	1.355103e-19
Thermobifida fusca YX	269800	CP000088.1	Actinobacteria	0.0113411084036313	0.00567055420181567	0.994329446520085	0.68	3642249	59.7555836494	61.6622458002	Avoidance	0.03934524
Dechloromonas aromatica RCB	159087	CP000089.1	Proteobacteria	0.000912371657774282	0.999543814231168	0.000456185828887141	0.59	4501104	46.7000835422	58.1132675787	Non-Avoidance	6.688228e-17
Ralstonia eutropha JMP134	264198	CP000090.1	Proteobacteria	1.26048007935214e-07	6.3024003967607e-08	0.99999993697601	0.65	3806533	50.8217446271	58.402607987	Avoidance	5.588444e-10
Pseudomonas fluorescens Pf0-1	205922	CP000094.2	Proteobacteria	0.22638314400709	0.113191572003545	0.886808435056936	0.61	6438405	46.8671679198	56.8315932819	Non-Avoidance	2.255215e-12
Prochlorococcus marinus str. NATL2A	59920	CP000095.2	Cyanobacteria	0.00864678489175455	0.995676608201974	0.00432339244587728	0.35	1842899	37.3788453434	56.5384615385	Non-Avoidance	3.412415e-19
Chlorobium luteolum DSM 273	319225	CP000096.1	Chlorobi	0.0521530351426869	0.973923484884598	0.0260765175713435	0.57	2364842	43.5435435435	55.1392572944	Non-Avoidance	9.364103e-14
Synechococcus sp. CC9902	316279	CP000097.1	Cyanobacteria	0.396432370264909	0.198216185132455	0.801783826911057	0.54	2234828	53.6451748841	57.9042131797	Non-Avoidance	2.628185e-05
Synechococcus elongatus PCC 7942	1140	CP000100.1	Cyanobacteria	0.000583386472608712	0.999708306810301	0.000291693236304356	0.55	2695903	50.1053518753	57.0988710229	Non-Avoidance	1.138983e-09
Nitrosospira multiformis ATCC 25196	323848	CP000103.1	Proteobacteria	0.283804196151323	0.141902098075661	0.85809791067862	0.54	3184243	43.567251462	57.4244833068	Non-Avoidance	7.782005e-18
Ehrlichia canis str. Jake	269484	CP000107.1	Proteobacteria	0.283384240130245	0.141692120065123	0.858307892394208	0.29	1315030	29.2942176871	50.8898220356	Non-Avoidance	4.101867e-20
Chlorobium chlorochromatii CaD3	340177	CP000108.1	Chlorobi	2.37134360441644e-19	1.18567180220822e-19	1	0.44	2572079	39.2006802721	53.3354714561	Avoidance	3.29373e-20
Thiomicrospira crunogena XCL-2	317025	CP000109.2	Proteobacteria	1.56245631660579e-08	7.81228158302894e-09	0.999999992187721	0.43	2427734	34.7953216374	54.1658758778	Avoidance	2.39981e-20
Synechococcus sp. CC9605	110662	CP000110.1	Cyanobacteria	0.114410324603178	0.0572051623015891	0.942794842889226	0.59	2510659	56.4200680272	58.3029861617	Non-Avoidance	0.06964325
Prochlorococcus marinus str. MIT 9312	74546	CP000111.1	Cyanobacteria	0.0137966276046654	0.00689831380233271	0.99310168714568	0.31	1709204	31.0577328276	55.0791313949	Avoidance	2.918787e-21
Desulfovibrio alaskensis G20	207559	CP000112.1	Proteobacteria	0.793965225755631	0.396982612877815	0.603017400715031	0.58	3730232	43.2003432003	58.2002457002	Non-Avoidance	1.328637e-20
Myxococcus xanthus DK 1622	246197	CP000113.1	Proteobacteria	1.51553064368465e-10	7.57765321842324e-11	0.999999999924224	0.69	9139763	56.2157606405	60.6547345877	Avoidance	1.092784e-06
Streptococcus agalactiae A909	205921	CP000114.1	Firmicutes	8.89187890873861e-34	4.44593945436931e-34	1	0.36	2127839	30.1004805592	52.2339405561	Avoidance	1.24727e-18
Nitrobacter winogradskyi Nb-255	323098	CP000115.1	Proteobacteria	0.994533977636511	0.502733026729409	0.497266988818255	0.62	3402093	52.8404344194	59.5160459928	Non-Avoidance	5.660589e-07
Thiobacillus denitrificans ATCC 25259	292415	CP000116.1	Proteobacteria	0.000780539303393799	0.999609730409394	0.000390269651696899	0.66	2909809	52.802359882	58.5143054119	Non-Avoidance	8.475671e-05
Anabaena variabilis ATCC 29413	240292	CP000117.1	Cyanobacteria	9.13466016268795e-06	4.56733008134398e-06	0.999995432670865	0.41	6365727	41.0450906026	54.5236051502	Avoidance	2.738587e-17
Mycoplasma capricolum subsp. capricolum ATCC 27343	340047	CP000123.1	Tenericutes	4.29755859424301e-11	2.1487792971215e-11	0.999999999978512	0.24	1010023	24.8366013072	49.7134998854	Avoidance	9.30369e-18
Burkholderia pseudomallei 1710b	320372	CP000124.1	Proteobacteria	0.00940191231658078	0.00470095615829039	0.995299044405973	0.68	4126292	51.5306122449	58.9886744297	Avoidance	7.834356e-07
Nitrosococcus oceani ATCC 19707	323261	CP000127.1	Proteobacteria	0.212895144727715	0.106447572363857	0.893552434392069	0.50	3481691	43.1077694236	58.3734359962	Non-Avoidance	3.687726e-18
Rhizobium etli CFN 42	347834	CP000133.1	Proteobacteria	0.437720873647442	0.218860436823721	0.781139577242406	0.61	4381608	50.0210703751	59.0729225551	Non-Avoidance	9.853181e-12
Bacteroides vulgatus ATCC 8482	435590	CP000139.1	Bacteroidetes	7.09798708232548e-10	3.54899354116274e-10	0.999999999645101	0.42	5163189	29.9694189602	53.7855148629	Avoidance	3.588244e-24
Parabacteroides distasonis ATCC 8503	435591	CP000140.1	Bacteroidetes	0.000776087496095931	0.000388043748047965	0.999611956312285	0.45	4811379	31.4547837484	54.4152342433	Avoidance	3.324638e-24
Carboxydothermus hydrogenoformans Z-2901	246194	CP000141.1	Firmicutes	2.72137994016339e-22	1.3606899700817e-22	1	0.42	2401520	37.134502924	59.6901626646	Avoidance	1.358253e-23
Pelobacter carbinolicus DSM 2380	338963	CP000142.2	Proteobacteria	0.115727418234816	0.0578637091174079	0.942136295265449	0.55	3665893	41.8128654971	58.9348171701	Non-Avoidance	2.686355e-22
Rhodobacter sphaeroides 2.4.1	272943	CP000143.1	Proteobacteria	0.222695990301022	0.111347995150511	0.888652015381368	0.69	3188609	56.3350340136	60.7444668008	Non-Avoidance	3.074613e-05
Geobacter metallireducens GS-15	269799	CP000148.1	Proteobacteria	0.00377077168202343	0.00188538584101172	0.998114614380057	0.60	3997420	44.6532999165	58.9699436443	Avoidance	1.974184e-18
Burkholderia sp. 383	482957	CP000151.1	Proteobacteria	1.10620932843031e-15	5.53104664215154e-16	1	0.66	3694126	49.787414966	58.9117600128	Avoidance	1.05023e-10
Sulfurimonas denitrificans DSM 1251	326298	CP000153.1	Proteobacteria	3.63066876840463e-17	1.81533438420232e-17	1	0.34	2201561	29.4486215539	51.1683168317	Avoidance	3.562101e-20
Paenibacillus polymyxa E681	349520	CP000154.1	Firmicutes	0.108099443393774	0.0540497216968871	0.945950282227861	0.46	5394884	39.3065998329	57.2707953855	Non-Avoidance	1.478729e-21
Hahella chejuensis KCTC 2396	349521	CP000155.1	Proteobacteria	0.275806094214745	0.862096960354638	0.137903047107373	0.54	7215267	42.1888053467	57.9158316633	Non-Avoidance	1.562132e-19
Lactobacillus delbrueckii subsp. bulgaricus 2038	353496	CP000156.1	Firmicutes	3.12592526074079e-08	1.56296263037039e-08	0.999999984370377	0.50	1872918	35.2992573176	53.9452233453	Avoidance	6.168387e-23
Erythrobacter litoralis HTCC2594	314225	CP000157.1	Proteobacteria	0.551576387573059	0.724211820933373	0.275788193786529	0.63	3052398	54.2606516291	58.8686131387	Non-Avoidance	5.076685e-05
Hyphomonas neptunium ATCC 15444	228405	CP000158.1	Proteobacteria	0.0110333533393462	0.00551667666967308	0.994483324072413	0.62	3705021	52.2556390977	58.7943533003	Avoidance	7.186762e-07
Salinibacter ruber DSM 13855	309807	CP000159.1	Bacteroidetes	0.0189123407149616	0.00945617035748078	0.990543830706861	0.66	3551823	54.9936788875	61.6953151331	Avoidance	5.487553e-07
Bacillus cereus Q1	361100	CP000227.1	Firmicutes	0.00149086709549934	0.00074543354774967	0.999254566566421	0.36	5214195	34.6203346203	55.4503916449	Avoidance	3.71521e-21
Rhodospirillum rubrum ATCC 11170	269796	CP000230.1	Proteobacteria	0.104904941276939	0.947547533537142	0.0524524706384695	0.65	4352825	54.3859649123	60.7732924544	Non-Avoidance	1.630882e-06
Moorella thermoacetica ATCC 39073	264732	CP000232.1	Firmicutes	0.00130139528705542	0.000650697643527709	0.999349302437572	0.56	2628784	48.2456140351	59.9121611389	Avoidance	5.471048e-13
Lactobacillus salivarius UCC118	362948	CP000233.1	Firmicutes	1.28044557146359e-11	6.40222785731793e-12	0.999999999993598	0.33	1827111	30.9742245522	51.7793062201	Avoidance	5.01316e-23
Anaplasma phagocytophilum HZ	212042	CP000235.1	Proteobacteria	0.859663651175406	0.429831825587703	0.570168195648018	0.42	1471282	38.4711779449	54.2765143892	Non-Avoidance	8.642225e-19
Ehrlichia chaffeensis str. Arkansas	205920	CP000236.1	Proteobacteria	0.000197206258681287	9.86031293406436e-05	0.999901396893168	0.30	1176248	29.5918367347	50.3305950711	Avoidance	1.723432e-18
Neorickettsia sennetsu str. Miyayama	222891	CP000237.1	Proteobacteria	0.00480354193218772	0.00240177096609386	0.997598229518651	0.41	859006	37.2448979592	53.3667465679	Avoidance	4.166354e-16
Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	374463	CP000238.1	Proteobacteria	3.85899336521475e-05	1.92949668260738e-05	0.999980705037679	0.33	686194	31.8042813456	50.4042631386	Avoidance	5.042175e-18
Synechococcus sp. JA-3-3Ab	321327	CP000239.1	Cyanobacteria	2.90745215445305e-06	0.999998546274239	1.45372607722652e-06	0.60	2932766	53.7294563843	59.0529722364	Non-Avoidance	3.778792e-06
Synechococcus sp. JA-2-3B'a(2-13)	321332	CP000240.1	Cyanobacteria	0.167717658595694	0.916141177364512	0.0838588292978469	0.58	3046682	53.2237673831	58.882134414	Non-Avoidance	1.748889e-05
Helicobacter pylori HPAG1	357544	CP000241.1	Proteobacteria	6.57217630662833e-07	3.28608815331417e-07	0.999999671391277	0.39	1596366	33.0759330759	52.1110688475	Avoidance	6.137651e-21
Escherichia coli UTI89	364106	CP000243.1	Proteobacteria	7.41146327218031e-10	3.70573163609015e-10	0.999999999629427	0.51	5065741	41.6457811195	57.6183991527	Avoidance	3.267068e-21
Ramlibacter tataouinensis TTB310	365046	CP000245.1	Proteobacteria	0.0362814894043867	0.0181407447021933	0.981859257034566	0.70	4070193	56.3492063492	59.2197452229	Avoidance	0.006798899
Clostridium perfringens ATCC 13124	195103	CP000246.1	Firmicutes	1.11259787941323e-05	5.56298939706617e-06	0.99999443701174	0.28	3256683	28.6143286143	54.0622371741	Avoidance	1.547081e-23
Escherichia coli 536	362663	CP000247.1	Proteobacteria	2.58546376265041e-23	1.29273188132521e-23	1	0.51	4938920	42.1470342523	57.5052854123	Avoidance	3.135299e-19
Novosphingobium aromaticivorans DSM 12444	279238	CP000248.1	Proteobacteria	0.148424644811415	0.0742123224057077	0.925787683066873	0.65	3561584	56.1403508772	60.1903114187	Non-Avoidance	1.494757e-06
Frankia sp. CcI3	106370	CP000249.1	Actinobacteria	0.904936168560488	0.547531933401545	0.452468084280244	0.70	5433628	62.9161399073	63.5705456472	Non-Avoidance	0.6680876
Rhodopseudomonas palustris HaA2	316058	CP000250.1	Proteobacteria	0.577104067401376	0.288552033700688	0.711447981069588	0.66	5331656	54.0244416351	59.8532307142	Non-Avoidance	8.750858e-06
Anaeromyxobacter dehalogenans 2CP-C	290397	CP000251.1	Proteobacteria	1.0874647510751e-15	1	5.43732375537551e-16	0.75	5013479	62.4895572264	62.368112544	Non-Avoidance	0.3799608
Syntrophus aciditrophicus SB	56780	CP000252.1	Proteobacteria	0.0292002751492521	0.0146001375746261	0.98539986386369	0.51	3179300	40.8163265306	57.1292322365	Avoidance	2.210837e-21
Staphylococcus aureus subsp. aureus NCTC 8325	93061	CP000253.1	Firmicutes	6.40980141571875e-11	3.20490070785938e-11	0.999999999967951	0.33	2821361	31.6173316173	51.8964076859	Avoidance	3.915715e-21
Staphylococcus aureus subsp. aureus USA300_FPR3757	451515	CP000255.1	Firmicutes	1.19091721154375e-10	5.95458605771874e-11	0.999999999940454	0.33	2872769	31.5901360544	51.9410069503	Avoidance	6.264494e-21
Streptococcus pyogenes MGAS9429	370551	CP000259.1	Firmicutes	8.08406571196477e-31	4.04203285598239e-31	1	0.39	1836467	33.6419753086	52.466977467	Avoidance	1.80743e-16
Streptococcus pyogenes MGAS10270	370552	CP000260.1	Firmicutes	1.88616901922293e-28	9.43084509611466e-29	1	0.38	1928252	32.9805996473	52.4511681348	Avoidance	5.555872e-18
Streptococcus pyogenes MGAS2096	370553	CP000261.1	Firmicutes	3.63768768793972e-23	1.81884384396986e-23	1	0.39	1860355	34.2592592593	52.466977467	Avoidance	3.348104e-16
Streptococcus pyogenes MGAS10750	370554	CP000262.1	Firmicutes	1.54333748973388e-20	7.71668744866938e-21	1	0.38	1937111	33.377020533	52.4712643678	Avoidance	2.157551e-17
Jannaschia sp. CCS1	290400	CP000264.1	Proteobacteria	0.437909127628973	0.781045450070398	0.218954563814486	0.62	4317977	50.0	58.7725903614	Non-Avoidance	8.091529e-11
Shigella flexneri 5 str. 8401	373384	CP000266.1	Proteobacteria	1.15570380412438e-43	5.7785190206219e-44	1	0.51	4574284	42.4744897959	57.4076674624	Avoidance	4.068907e-21
Rhodoferax ferrireducens T118	338969	CP000267.1	Proteobacteria	0.524878959846248	0.737560533564789	0.262439479923124	0.60	4712337	45.4051796157	56.8761965539	Non-Avoidance	4.639915e-14
Janthinobacterium sp. Marseille	375286	CP000269.1	Proteobacteria	0.826387805449218	0.586806114432228	0.413193902724609	0.54	4110251	41.186299081	56.4124056999	Non-Avoidance	9.505883e-20
Burkholderia xenovorans LB400	266265	CP000270.1	Proteobacteria	0.0129857755872419	0.00649288779362094	0.993507112876178	0.63	4895836	47.6615646259	58.38001514	Avoidance	4.456428e-14
Saccharophagus degradans 2-40	203122	CP000282.1	Proteobacteria	0.0327997681655824	0.0163998840827912	0.983600117839617	0.46	5057531	41.5204678363	56.6097518043	Avoidance	2.269223e-19
Rhodopseudomonas palustris BisB5	316057	CP000283.1	Proteobacteria	0.314564246751069	0.157282123375534	0.842717886713515	0.65	4892717	52.0438263801	59.6512224312	Non-Avoidance	1.117284e-09
Methylobacillus flagellatus KT	265072	CP000284.1	Proteobacteria	0.023023970032077	0.0115119850160385	0.988488016311204	0.56	2971517	42.0217209691	57.4109470026	Avoidance	6.529582e-18
Chromohalobacter salexigens DSM 3043	290398	CP000285.1	Proteobacteria	0.019914244876248	0.00995712243812399	0.990042878511678	0.64	3696649	50.7936507937	59.4956658786	Avoidance	2.037575e-11
Rhodopseudomonas palustris BisB18	316056	CP000301.1	Proteobacteria	0.0575454322140994	0.0287727161070497	0.97122728656669	0.65	5513844	52.3388116308	59.0893230984	Avoidance	1.656345e-08
Shewanella denitrificans OS217	318161	CP000302.1	Proteobacteria	5.09632342772187e-06	2.54816171386093e-06	0.999997451838746	0.45	4545906	39.8913951546	55.9065269944	Avoidance	6.010851e-22
Bifidobacterium breve UCC2003	326426	CP000303.1	Actinobacteria	4.72164696598432e-08	2.36082348299216e-08	0.999999976391771	0.59	2422684	48.75491481	59.356577396	Avoidance	1.618484e-15
Pseudomonas stutzeri A1501	379731	CP000304.1	Proteobacteria	1.32444721888777e-06	0.99999933777652	6.62223609443886e-07	0.64	4567418	50.9607351713	57.878592186	Non-Avoidance	1.127571e-09
Yersinia pestis Nepal516	377628	CP000305.1	Proteobacteria	8.57510350726537e-10	4.28755175363269e-10	0.999999999571245	0.48	4534590	41.395154553	56.7309199185	Avoidance	1.399468e-21
Yersinia pestis Antiqua	360102	CP000308.1	Proteobacteria	2.25829034979562e-10	1.12914517489781e-10	0.999999999887086	0.48	4702289	41.395154553	56.6993726878	Avoidance	4.997714e-21
Clostridium perfringens SM101	289380	CP000312.1	Firmicutes	1.83411925506488e-11	9.17059627532438e-12	0.999999999990829	0.28	2897393	28.4856284856	54.264730429	Avoidance	5.037257e-24
Polaromonas sp. JS666	296591	CP000316.1	Proteobacteria	0.126157978045491	0.936921015950439	0.0630789890227453	0.62	5200264	45.9064327485	57.1285975711	Non-Avoidance	1.109177e-13
Nitrobacter hamburgensis X14	323097	CP000319.1	Proteobacteria	0.409501066759913	0.795249477064904	0.204750533379957	0.62	4406967	53.634085213	59.5350404313	Non-Avoidance	1.929645e-06
Psychrobacter cryohalolentis K5	335284	CP000323.1	Proteobacteria	4.89405629575793e-08	2.44702814787896e-08	0.999999975529726	0.42	3059876	38.0952380952	54.0535649656	Avoidance	2.828213e-17
Mycobacterium ulcerans Agy99	362242	CP000325.1	Actinobacteria	0.851825692642424	0.425912846321212	0.57408717109546	0.65	5631606	58.6443586444	61.0766045549	Non-Avoidance	0.004064014
Leptospira borgpetersenii serovar Hardjo-bovis L550	355276	CP000348.1	Spirochaetes	0.830193644461009	0.58490319893082	0.415096822230505	0.40	3614446	36.8082368082	54.2414050822	Non-Avoidance	3.687581e-20
Leptospira borgpetersenii serovar Hardjo-bovis JB197	355277	CP000350.1	Spirochaetes	0.655114845243338	0.67244259697607	0.327557422621669	0.40	3576473	36.8082368082	54.27877429	Non-Avoidance	3.687581e-20
Cupriavidus metallidurans CH34	266264	CP000352.1	Proteobacteria	0.223770605827578	0.111885302913789	0.888114704291348	0.64	3928089	50.4594820384	58.8711008417	Non-Avoidance	1.17422e-11
Sphingopyxis alaskensis RB2256	317655	CP000356.1	Proteobacteria	0.593044964624217	0.703477531573191	0.296522482312108	0.66	3345170	56.3909774436	59.6691888087	Non-Avoidance	0.001564419
Deinococcus geothermalis DSM 11300	319795	CP000359.1	Deinococcus-Thermus	6.70769992992181e-07	3.3538499649609e-07	0.999999664615068	0.67	2467205	54.0665823852	60.5062469577	Avoidance	1.685316e-05
Candidatus Koribacter versatilis Ellin345	204669	CP000360.1	Acidobacteria	6.05062995846053e-10	3.02531497923027e-10	0.999999999697469	0.58	5650368	47.2431077694	58.7567152724	Avoidance	3.539467e-16
Arcobacter butzleri RM4018	367737	CP000361.1	Proteobacteria	1.10525341699582e-12	5.52626708497909e-13	0.999999999999447	0.27	2341251	26.4643910662	49.6458610004	Avoidance	1.13272e-17
Roseobacter denitrificans OCh 114	375451	CP000362.1	Proteobacteria	3.0354078453532e-07	1.5177039226766e-07	0.99999984822965	0.59	4133097	47.2848788638	58.7110760741	Avoidance	2.966874e-12
Ruegeria sp. TM1040	292414	CP000377.1	Proteobacteria	0.0133314222831308	0.00666571114156542	0.993334290051131	0.60	3200938	48.1668773704	58.5987261146	Avoidance	1.873042e-11
Burkholderia cenocepacia AU 1054	331271	CP000378.1	Proteobacteria	2.83115720743507e-10	1.41557860371753e-10	0.999999999858442	0.67	3294563	50.3734827264	58.2643832981	Avoidance	2.446613e-07
Clostridium novyi NT	386415	CP000382.1	Firmicutes	4.37994590189302e-08	2.18997295094651e-08	0.999999978100276	0.29	2547720	29.1291291291	53.0253404585	Avoidance	3.305398e-22
Cytophaga hutchinsonii ATCC 33406	269798	CP000383.1	Bacteroidetes	0.011229922459746	0.00561496122987301	0.99438503976769	0.39	4433218	33.0357142857	52.6336477987	Avoidance	9.787342e-20
Mycobacterium sp. MCS	164756	CP000384.1	Actinobacteria	0.916019931029134	0.458009965514567	0.541990051063498	0.68	5705448	59.6310596311	61.5904102651	Non-Avoidance	0.05570458
Rubrobacter xylanophilus DSM 9941	266117	CP000386.1	Actinobacteria	0.0163698673642855	0.00818493368214275	0.991815067239899	0.70	3225748	60.8418367347	64.2184557439	Avoidance	0.007179278
Streptococcus sanguinis SK36	388919	CP000387.1	Firmicutes	2.03968656511161e-20	1.01984328255581e-20	1	0.43	2388435	31.5315315315	53.7360890302	Avoidance	5.082982e-21
Pseudoalteromonas atlantica T6c	342610	CP000388.1	Proteobacteria	8.31828534141209e-18	4.15914267070605e-18	1	0.45	5187005	37.8863826232	54.7708221866	Avoidance	2.827687e-19
Chelativorans sp. BNC1	266779	CP000390.1	Proteobacteria	0.00380563787782459	0.998097181290475	0.0019028189389123	0.61	4412446	50.5430242272	60.6730115568	Non-Avoidance	3.164347e-12
Trichodesmium erythraeum IMS101	203124	CP000393.1	Cyanobacteria	9.76583056243768e-05	4.88291528121884e-05	0.999951170858083	0.34	7750108	34.9206349206	54.3015726179	Avoidance	3.082214e-20
Granulibacter bethesdensis CGDNIH1	391165	CP000394.1	Proteobacteria	0.172911920927203	0.0864559604636016	0.913544046145187	0.59	2708355	55.1622418879	60.7318312722	Non-Avoidance	3.203915e-07
Borrelia afzelii PKo	390236	CP000395.1	Spirochaetes	0.000257922995033932	0.000128961497516966	0.999871038536936	0.28	905394	27.619047619	48.7643158529	Avoidance	4.715916e-19
Streptococcus suis 05ZYH33	391295	CP000407.1	Firmicutes	1.04320883816639e-26	5.21604419083197e-27	1	0.41	2096309	34.1125541126	53.0854733614	Avoidance	3.945036e-15
Streptococcus suis 98HAH33	391296	CP000408.1	Firmicutes	1.03395772821749e-33	5.16978864108747e-34	1	0.41	2095698	33.2467532468	53.0288909599	Avoidance	1.064021e-16
Rickettsia canadensis str. McKiel	293613	CP000409.1	Proteobacteria	0.676300285509946	0.661849880037854	0.338150142754973	0.31	1159772	26.6055045872	51.4911746805	Non-Avoidance	3.251237e-19
Streptococcus pneumoniae D39	373153	CP000410.1	Firmicutes	3.23741940024036e-39	1.61870970012018e-39	1	0.40	2046115	31.1255411255	53.249235474	Avoidance	4.246853e-18
Oenococcus oeni PSU-1	203123	CP000411.1	Firmicutes	0.0666850853275945	0.0333425426637972	0.966657461103868	0.38	1780517	31.6711590296	53.0292356464	Avoidance	5.487884e-22
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	321956	CP000412.1	Firmicutes	3.43587247309473e-07	1.71793623654736e-07	0.999999828206414	0.50	1856951	35.255570118	54.0929386473	Avoidance	5.523017e-23
Lactobacillus gasseri ATCC 33323	324831	CP000413.1	Firmicutes	2.07569656782611e-25	1.03784828391305e-25	1	0.35	1894360	32.0872274143	52.2921914358	Avoidance	1.11476e-22
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	203120	CP000414.1	Firmicutes	0.000234240916412325	0.000117120458206162	0.999882879566517	0.38	2038396	33.4643949323	52.9784537389	Avoidance	8.59327e-21
Lactobacillus brevis ATCC 367	387344	CP000416.1	Firmicutes	2.22160006789526e-25	1.11080003394763e-25	1	0.46	2291220	36.8046283934	54.109926169	Avoidance	1.793921e-21
Streptococcus thermophilus LMD-9	322159	CP000419.1	Firmicutes	1.72317873797799e-35	8.61589368988997e-36	1	0.39	1856368	32.9838357361	53.5018050542	Avoidance	1.344952e-19
Pediococcus pentosaceus ATCC 25745	278197	CP000422.1	Firmicutes	4.81648505456482e-08	2.40824252728241e-08	0.99999997591758	0.37	1832387	32.6343381389	52.5830551582	Avoidance	3.937283e-23
Lactobacillus casei ATCC 334	321967	CP000423.1	Firmicutes	0.0319312245704224	0.0159656122852112	0.984034389332464	0.47	2895264	38.75054609	54.2810188989	Avoidance	2.831378e-20
Lactococcus lactis subsp. cremoris SK11	272622	CP000425.1	Firmicutes	1.60619139174707e-18	8.03095695873534e-19	1	0.36	2438589	30.2469135802	52.2509994785	Avoidance	1.144231e-20
Rhodococcus jostii RHA1	101510	CP000431.1	Actinobacteria	0.175110430861662	0.087555215430831	0.912444791128359	0.68	7804765	58.0782312925	60.9522207268	Non-Avoidance	0.0131734
Synechococcus sp. CC9311	64471	CP000435.1	Cyanobacteria	0.654025338156053	0.672987347028674	0.327012669078027	0.52	2606748	53.8137378845	58.1573197378	Non-Avoidance	7.518487e-05
Haemophilus somnus 129PT	205914	CP000436.1	Proteobacteria	1.70226689182188e-23	8.5113344591094e-24	1	0.37	2007700	32.9156223893	54.1075494833	Avoidance	3.016242e-22
Francisella tularensis subsp. holarctica OSU18	393011	CP000437.1	Proteobacteria	0.00809405438441442	0.00404702719220721	0.995952973497582	0.32	1895727	28.4863945578	53.2793209877	Avoidance	1.351875e-20
